CD_CVM;DENOM_CIA;CNPJ_CIA;SETOR_ATIV;Numero_Acoes;Ticker;Tipo_Acao;Ano;Versao;Ativo Total;Ativo Circulante;Passivo Total;Passivo Circulante;Empréstimos e Financiamentos - Circulante;Passivo Não Circulante;Empréstimos e Financiamentos - Não Circulante;Patrimônio Líquido Consolidado;Receita de Venda de Bens e/ou Serviços;Custo dos Bens e/ou Serviços Vendidos;Resultado Bruto;Resultado Antes do Resultado Financeiro e dos Tributos;Resultado Financeiro;Receitas Financeiras;Despesas Financeiras;Resultado Antes dos Tributos sobre o Lucro;Lucro/Prejuízo Consolidado do Período;Caixa Líquido Atividades Operacionais;Pagamento de Dividendos;Pagamento de Dividendos à Controladora;Pagamento de Dividendos a Acionistas Não Controladores;Pagamento de Juros sobre Capital Próprio
21490;ALUPAR INVESTIMENTO S/A;08.364.948/0001-38;Emp. Adm. Part. - Energia Elétrica;329626866; ALUP11;Outras;2024;DFP;28436081;5419566;28436081;3248718;45654;14558573;9676884;10628790;3311381;-797767;2513614;-155919;2357695;281951;-1159383;-877432;1480263;2376712;;;;
21610;B3 S.A. - BRASIL, BOLSA, BALCÃO;09.346.601/0001-25;Bolsas de Valores/Mercadorias e Futuros;5168573066;B3SA3;Ordinárias;2023;DFP;47594773;17129613;47594773;9306446;0;18005184;11550937;20283143;10110682;-1018969;9091713;-3513839;5577874;1806189;-1593912;212277;5790151;9892906;3258545;;;
21610;B3 S.A. - BRASIL, BOLSA, BALCÃO;09.346.601/0001-25;Bolsas de Valores/Mercadorias e Futuros;5168573066;B3SA3;Ordinárias;2024;DFP;49205283;18843820;49205283;12154194;0;16764990;9759402;20286099;9921251;-991226;8930025;-3680402;5249623;1783653;-1475104;308549;5558172;3760446;2795855;;;
21610;B3 S.A. - BRASIL, BOLSA, BALCÃO;09.346.601/0001-25;Bolsas de Valores/Mercadorias e Futuros;5168573066;B3SA3;Ordinárias;2023;DFP;47594773;17129613;47594773;9306446;0;18005184;11550937;20283143;10110682;-1018969;9091713;-3513839;5577874;1806189;-1593912;212277;5790151;9892906;3258545;;;
21610;B3 S.A. - BRASIL, BOLSA, BALCÃO;09.346.601/0001-25;Bolsas de Valores/Mercadorias e Futuros;5168573066;B3SA3;Ordinárias;2024;DFP;49205283;18843820;49205283;12154194;0;16764990;9759402;20286099;9921251;-991226;8930025;-3680402;5249623;1783653;-1475104;308549;5558172;3760446;2795855;;;
21636;RENOVA ENERGIA S.A.;08.534.605/0001-74;Energia Elétrica;310743613;RNEW3;Ordinárias;2023;DFP;2814419;116702;2814419;341621;9111;1561836;950914;910962;206403;-147918;58485;944026;1002511;16910;-231495;-214585;787926;-233511;0;;;
21636;RENOVA ENERGIA S.A.;08.534.605/0001-74;Energia Elétrica;310743613;RNEW3;Ordinárias;2024;DFP;3076138;138882;3076138;437914;7220;1705204;901872;933020;227838;-54385;173453;26853;200306;3339;-152875;-149536;50770;3740;0;;;
21636;RENOVA ENERGIA S.A.;08.534.605/0001-74;Energia Elétrica;62370987; RNEW4;Preferenciais;2023;DFP;2814419;116702;2814419;341621;9111;1561836;950914;910962;206403;-147918;58485;944026;1002511;16910;-231495;-214585;787926;-233511;0;;;
21636;RENOVA ENERGIA S.A.;08.534.605/0001-74;Energia Elétrica;62370987; RNEW4;Preferenciais;2024;DFP;3076138;138882;3076138;437914;7220;1705204;901872;933020;227838;-54385;173453;26853;200306;3339;-152875;-149536;50770;3740;0;;;
21636;RENOVA ENERGIA S.A.;08.534.605/0001-74;Energia Elétrica;20652485; RNEW11;Outras;2023;DFP;2814419;116702;2814419;341621;9111;1561836;950914;910962;206403;-147918;58485;944026;1002511;16910;-231495;-214585;787926;-233511;0;;;
